Pressure Velocity0 Velocity1 Velocity2 Viscosity0 Viscosity1 Viscosity2 Viscosity3 Viscosity4 Viscosity5 Viscosity6 Viscosity7 Viscosity8 SolidConcentration cylinderSolidConcentration Time VelocitySource0 VelocitySource1 VelocitySource2 VelocityAbsorption0 VelocityAbsorption1 VelocityAbsorption2 VelocityInterpolationErrorBound0 VelocityInterpolationErrorBound1 VelocityInterpolationErrorBound2 SolidForce0 SolidForce1 SolidForce2 SolidVelocity0 SolidVelocity1 SolidVelocity2 FSIFluidVelocity0 FSIFluidVelocity1 FSIFluidVelocity2 cylinderSolidForce0 cylinderSolidForce1 cylinderSolidForce2 cylinderSolidVelocity0 cylinderSolidVelocity1 cylinderSolidVelocity2 vtkGhostLevels vtkValidPointMask arc_length Points0 Points1 Points2
7.85257e-02 2.99237e-01 -7.14536e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -3.16386e-20 -3.16386e-20 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -6.32771e-17 -6.32771e-17 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.99237e-01 -7.14608e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 0.00000e+00 1.00000e-02 2.00000e-01 0.00000e+00
7.85497e-02 2.98959e-01 -2.96921e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -4.50205e-20 -4.50205e-20 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -9.00409e-17 -9.00409e-17 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98959e-01 -2.97018e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 2.18000e-03 1.21800e-02 2.00000e-01 0.00000e+00
7.86000e-02 2.98615e-01 -2.08039e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -7.70646e-20 -7.70646e-20 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.54129e-16 -1.54129e-16 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98615e-01 -2.08189e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 4.36000e-03 1.43600e-02 2.00000e-01 0.00000e+00
7.86645e-02 2.98222e-01 -1.04269e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.18430e-19 -1.18430e-19 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.36860e-16 -2.36860e-16 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.98222e-01 -1.04265e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 6.54000e-03 1.65400e-02 2.00000e-01 0.00000e+00
7.87315e-02 2.97776e-01 -8.02034e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.67843e-19 -1.67843e-19 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.35685e-16 -3.35685e-16 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.97776e-01 -8.02002e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 8.72000e-03 1.87200e-02 2.00000e-01 0.00000e+00
7.88357e-02 2.97261e-01 -1.18989e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -3.23789e-19 -3.23789e-19 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -6.47579e-16 -6.47579e-16 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.97261e-01 -1.18977e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 1.09000e-02 2.09000e-02 2.00000e-01 0.00000e+00
7.89501e-02 2.96693e-01 -9.98957e-06 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -6.19170e-19 -6.19170e-19 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -1.23834e-15 -1.23834e-15 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.96693e-01 -9.99310e-06 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 1.30800e-02 2.30800e-02 2.00000e-01 0.00000e+00
7.90863e-02 2.96069e-01 -1.99598e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.11759e-18 -1.11759e-18 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -2.23518e-15 -2.23518e-15 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.96069e-01 -1.99589e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 1.52600e-02 2.52600e-02 2.00000e-01 0.00000e+00
7.92158e-02 2.95393e-01 -2.46755e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -1.60320e-18 -1.60320e-18 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -3.20639e-15 -3.20639e-15 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.95393e-01 -2.46755e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 1.74400e-02 2.74400e-02 2.00000e-01 0.00000e+00
7.93975e-02 2.94642e-01 -2.29420e-05 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 1.00000e-03 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 -2.61815e-18 -2.61815e-18 1.00000e+01 0.00000e+00 0.00000e+00 0.00000e+00 -5.23630e-15 -5.23630e-15 0.00000e+00 1.00000e-05 1.00000e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.94642e-01 -2.29424e-05 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0 1 1.96200e-02 2.96200e-02 2.00000e-01 0.00000e+00
